8,1,3,B,5,7,4,B,4,4,8,B,4,2,3,B,7,3,4,B,3,8,1,B,4,4,3,B,7,8,3,B
4,8,6,7,7,1,4,7,3,7,3,7,7,3,5,4,4,3,8,5,3,4,7,8,3,1,7,8,3,7,6,3
8,3,8,4,8,6,3,8,3,3,6,8,1,8,8,8,8,2,7,8,7,7,8,6,2,4,6,7,3,7,7,4
4,7,3,4,2,8,3,7,4,2,8,1,4,3,3,6,4,6,7,3,3,4,3,4,8,8,3,7,2,8,4,5
7,7,5,2,4,3,8,3,C,4,8,7,7,4,7,7,7,4,1,8,5,7,8,2,C,3,8,4,1,4,4,8
1,3,7,B,8,4,3,B,8,1,4,B,8,4,6,B,2,3,4,B,4,8,7,B,8,3,8,B,4,4,6,B
4,7,4,8,7,8,8,3,2,6,3,8,3,8,3,4,8,7,6,8,8,1,4,7,3,7,2,7,3,2,1,7
5,8,6,3,8,7,4,2,4,5,4,7,3,1,5,2,8,5,7,8,3,7,7,5,8,4,1,3,5,3,8,3
8,8,3,7,4,3,1,6,7,8,7,4,8,7,7,3,3,1,7,4,3,3,6,8,4,3,5,6,7,7,7,4
7,2,4,4,7,3,5,7,3,3,3,8,7,4,4,7,4,3,4,7,4,8,2,3,4,8,7,4,4,8,8,3
